,,,,,,
,SKU,,,Product Name,,
,V-Core 3.1 Beast Enclosure,,,V-Core 3.1 Beast Enclosure,,
,,,,19/10/2022 12:26,,
,B.O.M.,,,,,
QTY,SKU,Length (mm),Tap,Item Name
1,HW306BRC,420,,T-SLOT 3030 - Black Anodized 1000mm
7,HW306BRC,440,,T-SLOT 3030 - Black Anodized 1000mm
2,HW316BRC,450,,T-SLOT 3060 - Black Anodized 1000mm
6,HW316BRC,505,,T-SLOT 3060 - Black Anodized 1000mm
4,HW316BRC,760,,T-SLOT 3060 - Black Anodized 1000mm
1,HW201BRC,422,,V-SLOT 2020 - Black Anodized 1000mm
2,HW1016NC,,,Aluminium Spacer - 3mm
15,HW1018NC,,,Aluminium Spacer - 6mm
12,HW2948WC,,,Ball Bearing - 695ZZ
24,HW2947WC,,,Ball Bearing - F695ZZ
3,HW1309WC,,,Ball Bearing F688ZZ Flanged 8 x 16 x 5
1,HW2198PC,,,Bed Plate - Cast tooling plate - Pre-Machined - 329*329*6mm
94,HW1292SC,,,Cap Head Screw M3 (Single) (Length: 12mm)
12,HW1866SC,,,Cap Head Screw M3 (Single) (Length: 18mm)
8,HW1504SC,,,Cap Head Screw M3 (Single) (Length: 20mm)
10,HW1868SC,,,Cap Head Screw M3 (Single) (Length: 35mm)
36,HW1502SC,,,Cap Head Screw M3 (Single) (Length: 8mm)
5,HW1285SC,,,Cap Head Screw M5 (Single) (Length: 10mm)
2,HW1202SC,,,Cap Head Screw M5 (Single) (Length: 12mm)
5,HW2110SC,,,Cap Head Screw M5 (Single) (Length: 18mm)
4,HW2138SC,,,Cap Head Screw M5 (Single) (Length: 40mm)
2,HW2074SC,,,Cap Head Screw M5 (Single) (Length: 45mm)
4,HW2140SC,,,Cap Head Screw M5 (Single) (Length: 55mm)
241,HW1836SC,,,Cap Head Screw M6 (Single) (Length: 12mm)
8,HW2827SC,,,Cap Head Screw M6 (Single) (Length: 16mm)
9,HW1870SC,,,Cap Head Screw M6 (Single) (Length: 20mm)
16,HW1916BC,,,Cast 90 Degree Corner Bracket for 3030 - 6 Slot - Black
6,HW1874SC,,,Countersink Screw M3 (Single) (Length: 12mm)
3,HW2349SC,,,Countersink Screw M5 (Single) (Length: 16mm)
2,HW2173SC,,,Countersink Screw M6 (Single) (Length: 14mm)
3,HW2990GC,,,Coupler - Rigid Type - Black 25*20mm - 5mm to 8mm
6,HW2126GC,,,Dowel Pin - 3.0mm x 35.0mm
1,HW2685EC,,,Endstop Module - Horizontal Limit switch with 1mt cable and connector
1,HW2943GC,4500,,Foam (meter) - 1mm x 8mm x 1000mm - Adhesive 3M - EVA material
20,HW1251NC,,,Hex Locking Nut - M3
11,HW1039NC,,,Hex Locking Nut - M5
28,HW1311NC,,,Hex Locking Nut - M6
16,HW1915PC,,,Joining Plate for 3030 - 90 Degree - Black Anodized
6,HW1914PC,,,Joining Plate for 3030 - T - Black Anodized
3,HW2191SC,,,Lead Screw - TR8*4 Metric Acme Lead Screw - 380mm
3,HW2915GC,,,Leadscrew Nut - POM - TR8*4
2,HW2353GC,,,Linear Rail - MGN12 350mm + MGN12C carriage
4,HW2036GC,,,Linear Rail - MGN12 400mm + MGN12C carriage
3,HW2127GC,,,Magnet - 20 x 10 x 5mm - Two hole (M3 Countersink screws)
20,HW2828GC,,,Magnet - Neodymium disc shape - 10mm x 4mm
20,HW2828GC,,,Magnet - Neodymium disc shape - 10mm x 4mm
28,HW1630NC,,,Mini Precision Shim - 8 x 5 x 1mm
5,HW1078EC,,,"Nema 17 Stepper Motor - 48mm - 1.8degree/step, 76oz-in"
3,HW2950WC,,,Rat Rig Bi-Material Lead Screw Decoupler
4,HW3056PC,,,Rat Rig V-Core 3 - Enclosure v2.0 - Idler Plate v1.0
4,HW2125GC,,,Rubber foot with metal insert - Heavy Duty - 28*22*16.5mm
3,HW2128GC,,,Steel Ball - 12mm - Threaded M5
16,HW1665NC,,,T-Nut - Drop In for 2020 - M3 (Single)
76,HW1821NC,,,T-Nut - Drop In for 3030 - M3 (Single)
5,HW1383NC,,,T-Nut - Drop In for 3030 - M5 (Single)
232,HW1361NC,,,T-Nut - Drop In for 3030 - M6 (Single)
6,HW1522NC,,,T-Nut - Square for 2020 - M5 (Single)
3,HW2118WC,,,Thrust Bearing F8-16M
2,HW1654WC,,,Timing Pulley - 2GT (2mm) - 20 Tooth - For 9mm Belt - 5mm Bore
2,HW2202PC,,,V-Core 3.0 - MOTOR_PLATE_V1.0
2,HW2949PC,,,V-Core 3.1 - XY_JOINER_PLATE_V1.1
4,HW1555GC,,,V-Slot Door Handle
87,HW1314NC,,,Washer Simple M6
