,,,,,,
,SKU,,,Product Name,,
,,,,Rat Rig V-Cast v1.0,,
,,,,11/10/2022 14:32,,
,B.O.M.,,,,,
QTY,SKU,Length (mm),Tap,Item Name
4,HW306BRC,480,,T-SLOT 3030 - Black Anodized 1000mm
3,HW306BRC,492,,T-SLOT 3030 - Black Anodized 1000mm
2,HW316BRC,400,,T-SLOT 3060 - Black Anodized 1000mm
1,HW201BRC,420,,V-SLOT 2020 - Black Anodized 1000mm
2,HW1588SC,,,8mm Metric Acme Lead Screw - 350mm
1,HW1638PC,,,Aluminium Bed Plate 329mm * 329mm * 4mm (For 300x300 print area)
2,HW1021GC,,,Anti-Backlash Nut Block for 8mm Metric Acme Lead Screw
14,HW1336SC,,,Button Head Screw M3 (Single) (Length: 8mm)
3,HW1187SC,,,Button Head Screw M5 (Single) (Length: 8mm)
12,HW1505SC,,,Cap Head Screw M3 (Single) (Length: 10mm)
99,HW1292SC,,,Cap Head Screw M3 (Single) (Length: 12mm)
3,HW1504SC,,,Cap Head Screw M3 (Single) (Length: 20mm)
2,HW1868SC,,,Cap Head Screw M3 (Single) (Length: 35mm)
26,HW1502SC,,,Cap Head Screw M3 (Single) (Length: 8mm)
10,HW1285SC,,,Cap Head Screw M5 (Single) (Length: 10mm)
61,HW1202SC,,,Cap Head Screw M5 (Single) (Length: 12mm)
4,HW2116SC,,,Cap Head Screw M5 (Single) (Length: 14mm)
2,HW1287SC,,,Cap Head Screw M5 (Single) (Length: 16mm)
1,HW1054SC,,,Cap Head Screw M5 (Single) (Length: 20mm)
1,HW1055SC,,,Cap Head Screw M5 (Single) (Length: 25mm)
2,HW1058SC,,,Cap Head Screw M5 (Single) (Length: 30mm)
73,HW1836SC,,,Cap Head Screw M6 (Single) (Length: 12mm)
2,HW1636BC,,,Cast 90 Degree Corner Bracket for 2020 - 20mm x 30mm - Black
10,HW1916BC,,,Cast 90 Degree Corner Bracket for 3030 - 6 Slot - Black
2,HW1001GC,,,Flexible Coupling - 5mm x 8mm
12,HW1819NC,,,Hex Locking Nut - M3 Black
7,HW1039NC,,,Hex Locking Nut - M5
2,HW1508NC,,,Hex Nut - M3
1,HW2058WC,,,Idler Pulley - Smooth for GT2-20T - 9mm Belt - 5mm Bore (standard)
8,HW1915PC,,,Joining Plate for 3030 - 90 Degree - Black Anodized
2,HW2036GC,,,Linear Rail - MGN12 400mm + MGN12C carriage
1,HW2035GC,,,Linear Rail - MGN12 500mm + 2 x MGN12C carriage
1,HW2034GC,,,Linear Rail - MGN12 500mm + MGN12C carriage
1,HW2033GC,,,Linear Rail - MGN15 360mm + MGN15C carriage
4,HW1155SC,,,Low Profile Screw - 15mm (Single)
4,HW1157SC,,,Low Profile Screw - 25mm (Single)
2,HW1072WC,,,Mini Ball Bearing 5 x 10 x 4.2 - MR105ZZ
6,HW1630NC,,,Mini Precision Shim - 8 x 5 x 1mm - C
1,HW2078WC,,,Rat Rig 6mm Custom Smooth Idler Pulley (compressible)
4,HW2125GC,,,Rubber foot with metal insert - Heavy Duty - 28*22*16.5mm
4,HW1591GC,,,Spring - Steel
15,HW1665NC,,,T-Nut - Drop In for 2020 - M3 (Single)
12,HW1030NC,,,T-Nut - Drop In for 2020 - M5 (Single)
80,HW1821NC,,,T-Nut - Drop In for 3030 - M3 (Single)
81,HW1383NC,,,T-Nut - Drop In for 3030 - M5 (Single)
73,HW1361NC,,,T-Nut - Drop In for 3030 - M6 (Single)
1,HW1597GC,1300,,Timing Belt  - GT2 6mm (By the meter)
1,HW1653GC,1200,,Timing Belt  - GT2 9mm (By the meter)
1,HW1035WC,,,Timing Pulley - GT2 (2mm) - 20 Tooth
1,HW1654WC,,,Timing Pulley - GT2 (2mm) - 20 Tooth - For 9mm Belt
1,HW2070PC,,,V-CAST_Y_Plate_Bed_Carriage_v0.6
24,HW1314NC,,,Washer Simple M6
