,,,,,,
,SKU,,,Product Name,,
,,,,Rat Rig V-Cast v1.0 IDEX Additions,,
,,,,11/10/2022 14:32,,
,B.O.M.,,,,,
QTY,SKU,Length (mm),Tap,Item Name
1,HW1019NC,,,Aluminium Spacer - 9mm
8,HW1336SC,,,Button Head Screw M3 (Single) (Length: 8mm)
1,HW1058SC,,,Cap Head Screw M5 (Single) (Length: 30mm)
3,HW1836SC,,,Cap Head Screw M6 (Single) (Length: 12mm)
1,HW2073GC,,,Linear Rail - MGN15C Carriage Only
2,HW1072WC,,,Mini Ball Bearing 5 x 10 x 4.2 - MR105ZZ
4,HW1630NC,,,Mini Precision Shim - 8 x 5 x 1mm - C
1,HW2078WC,,,Rat Rig 6mm Custom Smooth Idler Pulley (compressible)
3,HW1361NC,,,T-Nut - Drop In for 3030 - M6 (Single)
1,HW1597GC,1300,,Timing Belt  - GT2 6mm (By the meter)
1,HW1035WC,,,Timing Pulley - GT2 (2mm) - 20 Tooth
2,HW2071PC,,,V-CAST_X_Plate_Motor_v0.6
