,,,,,,
,SKU,,,Product Name,,
,,,,Rat Rig V-Cast v1.5,,
,,,,18/10/2022 14:19,,
,B.O.M.,,,,,
QTY,SKU,Length (mm),Tap,Item Name
4,HW306BRC,480,,T-SLOT 3030 - Black Anodized 1000mm
3,HW306BRC,592,,T-SLOT 3030 - Black Anodized 1000mm
2,HW316BRC,400,,T-SLOT 3060 - Black Anodized 1000mm
1,HW201BRC,520,,V-SLOT 2020 - Black Anodized 1000mm
6,,,,Aluminium Spacer - 20mm
5,HW1019NC,,,Aluminium Spacer - 9mm
2,HW1021GC,,,Anti-Backlash Nut Block for 8mm Metric Acme Lead Screw TR8*8
1,HW2198PC,,,Bed Plate - Cast tooling plate - Pre-Machined - 329*329*6mm
8,HW1336SC,,,Button Head Screw M3 (Single) (Length: 8mm)
68,HW1292SC,,,Cap Head Screw M3 (Single) (Length: 12mm)
8,HW1866SC,,,Cap Head Screw M3 (Single) (Length: 18mm)
22,HW1504SC,,,Cap Head Screw M3 (Single) (Length: 20mm)
4,HW1868SC,,,Cap Head Screw M3 (Single) (Length: 35mm)
44,HW1502SC,,,Cap Head Screw M3 (Single) (Length: 8mm)
26,HW1202SC,,,Cap Head Screw M5 (Single) (Length: 12mm)
4,HW2116SC,,,Cap Head Screw M5 (Single) (Length: 14mm)
4,HW1054SC,,,Cap Head Screw M5 (Single) (Length: 20mm)
2,HW1055SC,,,Cap Head Screw M5 (Single) (Length: 25mm)
8,HW1060SC,,,Cap Head Screw M5 (Single) (Length: 35mm)
60,HW1836SC,,,Cap Head Screw M6 (Single) (Length: 12mm)
10,HW1916BC,,,Cast 90 Degree Corner Bracket for 3030 - 6 Slot - Black
2,HW2841BC,,,Cast 90 Degree Corner Bracket for 3030 - No tabs / Multi Angle - Black
3,,,,Countersink Screw M5 (Single) (Length: 25mm)
4,HW2173SC,,,Countersink Screw M6 (Single) (Length: 14mm)
2,HW2204GC,,,Coupler - Spider/Jaw Type - 5mm*8mm
20,HW1251NC,,,Hex Locking Nut - M3
13,HW1039NC,,,Hex Locking Nut - M5
2,,,,Idler Pulley - Smooth for 2GT-20T - 6mm Belt
2,,,,Idler Pulley - Smooth for 2GT-20T - 9mm Belt
8,HW1915PC,,,Joining Plate for 3030 - 90 Degree - Black Anodized
2,HW1588SC,,,Lead Screw - TR8*8 Metric Acme Lead Screw - 350mm
2,HW2036GC,,,Linear Rail - MGN12 400mm + MGN12C carriage
3,HW2035GC,,,Linear Rail - MGN12 500mm + 2 x MGN12C carriage
4,HW1155SC,,,Low Profile Screw - 15mm (Single)
8,HW1630NC,,,Mini Precision Shim - 8 x 5 x 1mm
6,HW1078EC,,,"Nema 17 Stepper Motor - 48mm - 1.8degree/step, 76oz-in"
4,HW2125GC,,,Rubber foot with metal insert - Heavy Duty - 28*22*16.5mm
20,HW1665NC,,,T-Nut - Drop In for 2020 - M3 (Single)
8,HW1030NC,,,T-Nut - Drop In for 2020 - M5 (Single)
68,HW1821NC,,,T-Nut - Drop In for 3030 - M3 (Single)
30,HW1383NC,,,T-Nut - Drop In for 3030 - M5 (Single)
64,HW1361NC,,,T-Nut - Drop In for 3030 - M6 (Single)
2,HW2118WC,,,Thrust Bearing F8-16M
2,HW1597GC,2000,,Timing Belt  - 2GT 6mm (By the meter)
2,HW1653GC,2000,,Timing Belt  - 2GT 9mm (By the meter)
2,HW1035WC,,,Timing Pulley - 2GT (2mm) - 20 Tooth - For 6mm Belt - 5mm Bore
2,HW1654WC,,,Timing Pulley - 2GT (2mm) - 20 Tooth - For 9mm Belt - 5mm Bore
2,,,,v-cast_x_plate_frame_v1.5
2,,,,v-cast_x_plate_motor_v1.5
1,,,,v-cast_y_carriage_v1.5
8,HW1315NC,,,Washer Simple M5
20,HW1314NC,,,Washer Simple M6
